,id,seq,unlabeled,car,road,parking,sidewalk,building,fence,vegetation,trunk,pole,traffic-sign,moving-motorcyclist,outlier,other-vehicle,other-object,motorcyclist,moving-car,lane-marking,bicycle,terrain,other-structure,motorcycle,person,moving-person,moving-bicyclist,other-ground,truck,moving-other-vehicle,moving-bus,moving-truck,rider
0,00_000000,00,444.0,1483.0,5798,1752.0,1246.0,3597.0,248.0,3685.0,776.0,220.0,6.0,88.0,,,,,,,,,,,,,,,,,,,
1,00_000001,00,498.0,1588.0,5697,1673.0,1173.0,3852.0,184.0,3546.0,816.0,51.0,5.0,73.0,,,,,,,,,,,,,,,,,,,
2,00_000002,00,522.0,1798.0,5587,1436.0,980.0,4001.0,199.0,3506.0,777.0,60.0,4.0,72.0,,,,,,,,,,,,,,,,,,,
3,00_000003,00,517.0,2023.0,5556,1198.0,832.0,4185.0,150.0,3230.0,842.0,62.0,4.0,72.0,,,,,,,,,,,,,,,,,,,
4,00_000004,00,516.0,2067.0,5557,1206.0,680.0,4353.0,137.0,2910.0,887.0,70.0,3.0,72.0,,,,,,,,,,,,,,,,,,,
5,00_000005,00,496.0,1962.0,5562,1172.0,743.0,4475.0,142.0,2809.0,955.0,79.0,3.0,70.0,,,,,,,,,,,,,,,,,,,
6,00_000006,00,527.0,1529.0,5519,1229.0,827.0,4654.0,119.0,2889.0,1043.0,97.0,1.0,72.0,,,,,,,,,,,,,,,,,,,
7,00_000007,00,560.0,1362.0,5516,1265.0,938.0,4839.0,97.0,3098.0,1122.0,122.0,,69.0,1.0,1.0,,,,,,,,,,,,,,,,,
8,00_000008,00,519.0,1128.0,5607,1293.0,1075.0,4886.0,89.0,3344.0,1198.0,149.0,,67.0,,3.0,,,,,,,,,,,,,,,,,
9,00_000009,00,552.0,1064.0,5720,1223.0,1257.0,4935.0,61.0,3485.0,1282.0,161.0,,58.0,,,1.0,,,,,,,,,,,,,,,,
10,00_000010,00,437.0,841.0,5848,1146.0,1478.0,5116.0,13.0,3589.0,1320.0,13.0,,64.0,,2.0,9.0,,,,,,,,,,,,,,,,
11,00_000011,00,389.0,922.0,5859,1157.0,1696.0,5464.0,17.0,3076.0,1186.0,17.0,,59.0,1.0,1.0,11.0,,,,,,,,,,,,,,,,
12,00_000012,00,372.0,1053.0,5843,1182.0,2003.0,5688.0,18.0,2399.0,1173.0,19.0,2.0,54.0,,,11.0,,,,,,,,,,,,,,,,
13,00_000013,00,387.0,1172.0,5795,1160.0,2218.0,5751.0,,1899.0,1368.0,23.0,1.0,52.0,,1.0,11.0,,,,,,,,,,,,,,,,
14,00_000014,00,388.0,1287.0,5841,1221.0,2383.0,5598.0,,1499.0,1200.0,24.0,5.0,57.0,,1.0,14.0,1.0,1.0,,,,,,,,,,,,,,
15,00_000015,00,385.0,1504.0,5823,1259.0,2597.0,6279.0,,1258.0,551.0,28.0,5.0,50.0,,5.0,15.0,1.0,,,,,,,,,,,,,,,
16,00_000016,00,400.0,1549.0,5731,1464.0,2293.0,6295.0,,1095.0,615.0,31.0,3.0,45.0,,5.0,18.0,,,,,,,,,,,,,,,,
17,00_000017,00,414.0,1777.0,5590,1553.0,1958.0,6229.0,,1109.0,699.0,28.0,3.0,50.0,,5.0,19.0,,,,,,,,,,,,,,,,
18,00_000018,00,443.0,1860.0,5570,1502.0,1701.0,6115.0,,1237.0,773.0,32.0,,50.0,,3.0,23.0,,,,,,,,,,,,,,,,
19,00_000019,00,399.0,1929.0,5560,1509.0,1379.0,5936.0,,1508.0,852.0,35.0,1.0,47.0,,8.0,21.0,,,,,,,,,,,,,,,,
20,00_000020,00,396.0,2040.0,5625,1524.0,1132.0,5709.0,,1705.0,922.0,35.0,9.0,43.0,,5.0,33.0,,,,,,,,,,,,,,,,
21,00_000021,00,422.0,2144.0,5657,1562.0,1066.0,5529.0,3.0,1739.0,1007.0,36.0,11.0,43.0,,5.0,38.0,,,,,,,,,,,,,,,,
22,00_000022,00,425.0,2208.0,5615,1690.0,1092.0,5368.0,2.0,1583.0,1161.0,35.0,13.0,47.0,,8.0,35.0,,,,,,,,,,,,,,,,
23,00_000023,00,414.0,2262.0,5532,1885.0,1205.0,5321.0,1.0,1250.0,1168.0,39.0,11.0,52.0,2.0,15.0,35.0,,,,,,,,,,,,,,,,
